Date,Weekend,Weekday
2013-12-30,0,1
2014-04-21,0,1
2014-04-28,0,1
2014-05-19,0,1
2014-07-21,1,0
2014-07-28,0,3
2014-08-25,1,0
2014-09-29,2,1
2014-10-06,0,2
2014-10-27,0,1
2014-12-29,0,1
2015-04-20,0,1
2015-04-27,0,1
2015-05-18,0,1
2015-07-13,2,2
2015-08-24,1,0
2015-09-21,2,3
2015-10-26,0,1
2015-12-28,0,1
2016-04-18,1,0
2016-04-25,1,0
2016-05-16,0,1
2016-07-04,0,4
2016-08-29,0,1
2016-09-05,1,0
2016-09-12,0,4
2016-10-24,1,0
2016-12-26,1,0
2017-04-17,1,0
2017-05-01,0,1
2017-05-15,0,1
2017-06-19,2,0
2017-06-26,0,2
2017-07-10,1,0
2017-08-28,2,3
2017-09-04,0,1
2017-10-23,1,0
2018-01-01,0,1
2018-04-23,0,1
2018-04-30,0,1
2018-05-14,1,0
2018-06-11,2,2
2018-07-09,1,0
2018-08-20,0,5
2018-08-27,0,1
2018-10-29,0,1
2018-12-31,0,1
2019-04-22,0,1
2019-04-29,0,1
2019-05-13,1,0
2019-06-03,0,4
2019-07-15,0,1
2019-08-05,2,0
2019-08-12,0,3
2019-08-26,0,1
2019-10-28,0,1
