Date,MoMInflation%
2014-01-06,0.01
2014-01-13,0.46
2014-01-20,0.46
2014-01-27,0.46
2014-02-03,0.46
2014-02-10,1.98
2014-02-17,1.98
2014-02-24,1.98
2014-03-03,1.98
2014-03-10,1.98
2014-03-17,0.43
2014-03-24,0.43
2014-03-31,0.43
2014-04-07,0.43
2014-04-14,1.13
2014-04-21,1.13
2014-04-28,1.13
2014-05-05,1.13
2014-05-12,1.34
2014-05-19,1.34
2014-05-26,1.34
2014-06-02,1.34
2014-06-09,1.34
2014-06-16,0.4
2014-06-23,0.4
2014-06-30,0.4
2014-07-07,0.4
2014-07-14,0.31
2014-07-21,0.31
2014-07-28,0.31
2014-08-04,0.31
2014-08-11,0.45
2014-08-18,0.45
2014-08-25,0.45
2014-09-01,0.45
2014-09-08,0.45
2014-09-15,0.09
2014-09-22,0.09
2014-09-29,0.09
2014-10-06,0.09
2014-10-13,0.14
2014-10-20,0.14
2014-10-27,0.14
2014-11-03,0.14
2014-11-10,1.9
2014-11-17,1.9
2014-11-24,1.9
2014-12-01,1.9
2014-12-08,1.9
2014-12-15,0.18
2014-12-22,0.18
2014-12-29,0.18
2015-01-05,0.18
2015-01-12,-0.44
2015-01-19,-0.44
2015-01-26,-0.44
2015-02-02,-0.44
2015-02-09,-0.44
2015-02-16,1.1
2015-02-23,1.1
2015-03-02,1.1
2015-03-09,1.1
2015-03-16,0.71
2015-03-23,0.71
2015-03-30,0.71
2015-04-06,0.71
2015-04-13,1.19
2015-04-20,1.19
2015-04-27,1.19
2015-05-04,1.19
2015-05-11,1.63
2015-05-18,1.63
2015-05-25,1.63
2015-06-01,1.63
2015-06-08,1.63
2015-06-15,0.56
2015-06-22,0.56
2015-06-29,0.56
2015-07-06,0.56
2015-07-13,-0.51
2015-07-20,-0.51
2015-07-27,-0.51
2015-08-03,-0.51
2015-08-10,0.09
2015-08-17,0.09
2015-08-24,0.09
2015-08-31,0.09
2015-09-07,0.09
2015-09-14,0.4
2015-09-21,0.4
2015-09-28,0.4
2015-10-05,0.4
2015-10-12,0.89
