|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyat Endeksi (2003=100) Aylık Değişim (%)|Ölçüm bazında|2014|1.98|0.43|1.13|1.34|0.4|0.31|0.45|0.09|0.14|1.9|0.18|-0.44|
||2015|1.1|0.71|1.19|1.63|0.56|-0.51|0.09|0.4|0.89|1.55|0.67|0.21|
||2016|1.82|-0.02|-0.04|0.78|0.58|0.47|1.16|-0.29|0.18|1.44|0.52|1.64|
||2017|2.46|0.81|1.02|1.31|0.45|-0.27|0.15|0.52|0.65|2.08|1.49|0.69|
||2018|1.02|0.73|0.99|1.87|1.62|2.61|0.55|2.3|6.3|2.67|-1.44|-0.4|
||2019|1.06|0.16|1.03|1.69|0.95|0.03|1.36|0.86|0.99|2.0|0.38|0.74|
|||||||||||||||
