|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|12-Aralık|
|||||||||||||||
Trafiğe Kaydı Yapılan Motorlu Kara Taşıt Sayısı|Ölçüm bazında|2014|11375.0|9561.0|3280.0|4356.0|1524.0|8947.0|12828.0|4745.0|1620.0|2841.0|1913.0|32586.0|
||2015|14300.0|13261.0|4253.0|5624.0|2213.0|11690.0|16329.0|5795.0|1861.0|4041.0|2645.0|43599.0|
||2016|11809.0|10542.0|4032.0|5047.0|2052.0|9458.0|13056.0|4793.0|1646.0|3103.0|1940.0|33897.0|
||2017|10740.0|10549.0|3631.0|4590.0|1895.0|9117.0|13039.0|5362.0|1359.0|3093.0|1927.0|37740.0|
||2018|6345.0|6094.0|1997.0|2374.0|1147.0|4802.0|7038.0|3509.0|964.0|1748.0|1305.0|18789.0|
||2019|6603.0|6352.0|2295.0|2780.0|1275.0|5762.0|8194.0|3209.0|769.0|1786.0|1159.0|23352.0|
|||||||||||||||
