Date,MoMInflation%
2014-01-06,6.91
2014-01-13,7.4
2014-01-20,7.4
2014-01-27,7.4
2014-02-03,7.4
2014-02-10,1.98
2014-02-17,1.98
2014-02-24,1.98
2014-03-03,1.98
2014-03-10,1.98
2014-03-17,2.41
2014-03-24,2.41
2014-03-31,2.41
2014-04-07,2.41
2014-04-14,3.57
2014-04-21,3.57
2014-04-28,3.57
2014-05-05,3.57
2014-05-12,4.96
2014-05-19,4.96
2014-05-26,4.96
2014-06-02,4.96
2014-06-09,4.96
2014-06-16,5.38
2014-06-23,5.38
2014-06-30,5.38
2014-07-07,5.38
2014-07-14,5.7
2014-07-21,5.7
2014-07-28,5.7
2014-08-04,5.7
2014-08-11,6.18
2014-08-18,6.18
2014-08-25,6.18
2014-09-01,6.18
2014-09-08,6.18
2014-09-15,6.28
2014-09-22,6.28
2014-09-29,6.28
2014-10-06,6.28
2014-10-13,6.43
2014-10-20,6.43
2014-10-27,6.43
2014-11-03,6.43
2014-11-10,8.45
2014-11-17,8.45
2014-11-24,8.45
2014-12-01,8.45
2014-12-08,8.45
2014-12-15,8.65
2014-12-22,8.65
2014-12-29,8.65
2015-01-05,8.65
2015-01-12,8.17
2015-01-19,8.17
2015-01-26,8.17
2015-02-02,8.17
2015-02-09,8.17
2015-02-16,1.1
2015-02-23,1.1
2015-03-02,1.1
2015-03-09,1.1
2015-03-16,1.82
2015-03-23,1.82
2015-03-30,1.82
2015-04-06,1.82
2015-04-13,3.03
2015-04-20,3.03
2015-04-27,3.03
2015-05-04,3.03
2015-05-11,4.71
2015-05-18,4.71
2015-05-25,4.71
2015-06-01,4.71
2015-06-08,4.71
2015-06-15,5.3
2015-06-22,5.3
2015-06-29,5.3
2015-07-06,5.3
2015-07-13,4.76
2015-07-20,4.76
2015-07-27,4.76
2015-08-03,4.76
2015-08-10,4.85
2015-08-17,4.85
2015-08-24,4.85
2015-08-31,4.85
2015-09-07,4.85
2015-09-14,5.27
2015-09-21,5.27
2015-09-28,5.27
2015-10-05,5.27
2015-10-12,6.21
2015-10-19,6.21
2015-10-26,6.21
2015-11-02,6.21
2015-11-09,6.21
2015-11-16,7.86
2015-11-23,7.86
2015-11-30,7.86
2015-12-07,7.86
2015-12-14,8.58
2015-12-21,8.58
2015-12-28,8.58
2016-01-04,8.58
2016-01-11,8.81
2016-01-18,8.81
2016-01-25,8.81
2016-02-01,8.81
2016-02-08,8.81
2016-02-15,1.82
2016-02-22,1.82
2016-02-29,1.82
2016-03-07,1.82
2016-03-14,1.8
2016-03-21,1.8
2016-03-28,1.8
2016-04-04,1.8
2016-04-11,1.75
2016-04-18,1.75
2016-04-25,1.75
2016-05-02,1.75
2016-05-09,1.75
2016-05-16,2.55
2016-05-23,2.55
2016-05-30,2.55
2016-06-06,2.55
2016-06-13,3.15
2016-06-20,3.15
2016-06-27,3.15
2016-07-04,3.15
2016-07-11,3.63
2016-07-18,3.63
2016-07-25,3.63
2016-08-01,3.63
2016-08-08,3.63
2016-08-15,4.84
2016-08-22,4.84
2016-08-29,4.84
2016-09-05,4.84
2016-09-12,4.53
2016-09-19,4.53
2016-09-26,4.53
2016-10-03,4.53
2016-10-10,4.53
2016-10-17,4.72
2016-10-24,4.72
2016-10-31,4.72
2016-11-07,4.72
2016-11-14,6.23
2016-11-21,6.23
2016-11-28,6.23
2016-12-05,6.23
2016-12-12,6.78
2016-12-19,6.78
2016-12-26,6.78
2017-01-02,6.78
2017-01-09,6.78
2017-01-16,8.53
2017-01-23,8.53
2017-01-30,8.53
2017-02-06,8.53
2017-02-13,2.46
2017-02-20,2.46
2017-02-27,2.46
2017-03-06,2.46
2017-03-13,3.29
2017-03-20,3.29
2017-03-27,3.29
2017-04-03,3.29
2017-04-10,4.34
2017-04-17,4.34
2017-04-24,4.34
2017-05-01,4.34
2017-05-08,4.34
2017-05-15,5.71
2017-05-22,5.71
2017-05-29,5.71
2017-06-05,5.71
2017-06-12,6.18
2017-06-19,6.18
2017-06-26,6.18
2017-07-03,6.18
2017-07-10,6.18
2017-07-17,5.89
2017-07-24,5.89
2017-07-31,5.89
2017-08-07,5.89
2017-08-14,6.05
2017-08-21,6.05
2017-08-28,6.05
2017-09-04,6.05
2017-09-11,6.6
2017-09-18,6.6
2017-09-25,6.6
2017-10-02,6.6
2017-10-09,6.6
2017-10-16,7.29
2017-10-23,7.29
2017-10-30,7.29
2017-11-06,7.29
2017-11-13,9.52
2017-11-20,9.52
2017-11-27,9.52
2017-12-04,9.52
2017-12-11,11.16
2017-12-18,11.16
2017-12-25,11.16
2018-01-01,11.16
2018-01-08,11.16
