index,Litres
0,34879.477
1,33533.11
2,40482.688
3,26628.205
4,27685.883
5,34646.316
6,40012.78
7,29075.064
8,34632.574
9,38106.04
10,39579.47
11,32418.178
12,34116.836
13,39068.992
14,40006.13
15,47362.27
16,34032.203
17,38378.125
18,36186.406
19,39361.41
20,36368.055
21,37009.312
22,48300.656
23,41897.875
24,43381.89
25,50153.094
26,50000.188
27,48427.68
28,49450.63
29,51602.004
30,57931.418
31,59932.008
32,54534.68
33,53020.59
34,51607.664
35,44914.04
36,46031.793
37,50305.18
38,37523.723
39,41916.36
40,41088.97
41,47849.85
42,48963.85
43,50606.184
44,46645.348
45,51502.734
46,44616.53
47,48433.18
48,44744.816
49,39300.492
50,48809.023
51,45011.258
52,31339.225
53,37387.0
54,41267.844
55,38780.574
56,33471.637
57,35412.863
58,39672.65
59,37844.156
60,40895.582
61,43068.75
62,46660.414
63,45400.94
64,43961.812
65,47344.58
66,47256.133
67,52354.566
68,42568.125
69,46570.32
70,35417.164
71,39234.273
72,33534.164
73,35718.883
74,60704.26
75,49206.29
76,53936.773
77,57349.066
78,53565.785
79,50119.258
80,58099.14
81,59399.83
82,72683.35
83,66462.0
84,83572.98
85,77770.63
86,62250.27
87,53892.273
88,49334.906
89,50236.586
90,44838.95
91,41367.71
92,45535.195
93,41320.06
94,38301.05
95,34745.766
96,39669.703
97,35939.766
98,38487.523
99,34013.664
100,39168.016
101,27146.74
102,42500.668
103,45202.914
104,25217.154
105,23403.16
106,24708.84
107,20511.162
108,11235.712
109,15347.18
110,17287.594
111,17663.992
112,21267.938
113,28483.72
114,23025.637
115,19647.941
116,19602.748
117,23519.865
118,20130.94
119,23584.588
120,26133.701
121,33333.156
122,22375.342
123,23035.719
124,21096.775
125,22759.955
126,36495.844
127,46192.24
128,38105.305
129,28120.69
130,34931.35
131,27717.025
132,31648.754
133,31594.96
134,29568.248
135,32940.508
136,60769.69
137,86307.27
138,56334.168
139,31981.67
140,17005.236
141,18390.201
142,7972.3843
143,10597.127
144,11544.136
145,10392.563
146,15057.928
147,8461.15
148,7649.447
149,28704.482
150,21565.93
151,9986.583
152,4915.2354
153,14368.438
154,31772.416
155,39050.42
156,17312.072
157,20778.855
158,27341.898
159,10536.459
160,15054.168
161,17458.13
162,27627.287
163,16274.206
164,21669.799
165,19599.002
166,20546.85
167,18105.89
168,20528.646
169,25368.957
170,24702.719
171,27243.557
172,24510.857
173,26165.748
174,24485.418
175,24259.674
176,19889.832
177,22661.957
178,50113.625
179,38952.363
180,45699.453
181,36025.617
182,42304.35
183,40140.344
184,48767.887
185,50740.688
186,59189.047
