,Date,DataReleaseDate,Region,Cars,Cars(12m)
0,2013-11-01,2013-12-22,Akdeniz Bölgesi,12007,
1,2013-12-01,2014-01-26,Akdeniz Bölgesi,9999,
2,2014-01-01,2014-02-23,Akdeniz Bölgesi,15874,
3,2014-02-01,2014-03-23,Akdeniz Bölgesi,6537,
4,2014-03-01,2014-04-20,Akdeniz Bölgesi,8564,
5,2014-04-01,2014-05-25,Akdeniz Bölgesi,10070,
6,2014-05-01,2014-06-22,Akdeniz Bölgesi,9808,
7,2014-06-01,2014-07-27,Akdeniz Bölgesi,9157,
8,2014-07-01,2014-08-24,Akdeniz Bölgesi,13883,
9,2014-08-01,2014-09-21,Akdeniz Bölgesi,11851,
10,2014-09-01,2014-10-26,Akdeniz Bölgesi,12059,
11,2014-10-01,2014-11-23,Akdeniz Bölgesi,10953,130762.0
12,2014-11-01,2014-12-21,Akdeniz Bölgesi,11192,129947.0
13,2014-12-01,2015-01-25,Akdeniz Bölgesi,11375,131323.0
14,2015-01-01,2015-02-22,Akdeniz Bölgesi,17941,133390.0
15,2015-02-01,2015-03-29,Akdeniz Bölgesi,8828,135681.0
16,2015-03-01,2015-04-26,Akdeniz Bölgesi,12842,139959.0
17,2015-04-01,2015-05-24,Akdeniz Bölgesi,14015,143904.0
18,2015-05-01,2015-06-21,Akdeniz Bölgesi,13147,147243.0
19,2015-06-01,2015-07-26,Akdeniz Bölgesi,10654,148740.0
20,2015-07-01,2015-08-23,Akdeniz Bölgesi,16928,151785.0
21,2015-08-01,2015-09-20,Akdeniz Bölgesi,13074,153008.0
22,2015-09-01,2015-10-25,Akdeniz Bölgesi,9914,150863.0
23,2015-10-01,2015-11-22,Akdeniz Bölgesi,10280,150190.0
24,2015-11-01,2015-12-27,Akdeniz Bölgesi,11327,150325.0
25,2015-12-01,2016-01-24,Akdeniz Bölgesi,14300,153250.0
26,2016-01-01,2016-02-21,Akdeniz Bölgesi,13612,148921.0
27,2016-02-01,2016-03-27,Akdeniz Bölgesi,7639,147732.0
28,2016-03-01,2016-04-24,Akdeniz Bölgesi,10773,145663.0
29,2016-04-01,2016-05-22,Akdeniz Bölgesi,10347,141995.0
30,2016-05-01,2016-06-26,Akdeniz Bölgesi,11414,140262.0
31,2016-06-01,2016-07-24,Akdeniz Bölgesi,11011,140619.0
32,2016-07-01,2016-08-21,Akdeniz Bölgesi,10249,133940.0
33,2016-08-01,2016-09-25,Akdeniz Bölgesi,11030,131896.0
34,2016-09-01,2016-10-23,Akdeniz Bölgesi,9354,131336.0
35,2016-10-01,2016-11-20,Akdeniz Bölgesi,10679,131735.0
36,2016-11-01,2016-12-25,Akdeniz Bölgesi,14295,134703.0
37,2016-12-01,2017-01-22,Akdeniz Bölgesi,11809,132212.0
38,2017-01-01,2017-02-26,Akdeniz Bölgesi,14616,133216.0
39,2017-02-01,2017-03-26,Akdeniz Bölgesi,7018,132595.0
40,2017-03-01,2017-04-23,Akdeniz Bölgesi,10421,132243.0
41,2017-04-01,2017-05-21,Akdeniz Bölgesi,10396,132292.0
42,2017-05-01,2017-06-25,Akdeniz Bölgesi,11988,132866.0
43,2017-06-01,2017-07-23,Akdeniz Bölgesi,10118,131973.0
44,2017-07-01,2017-08-20,Akdeniz Bölgesi,14321,136045.0
45,2017-08-01,2017-09-24,Akdeniz Bölgesi,11987,137002.0
46,2017-09-01,2017-10-22,Akdeniz Bölgesi,10501,138149.0
47,2017-10-01,2017-11-26,Akdeniz Bölgesi,11787,139257.0
48,2017-11-01,2017-12-24,Akdeniz Bölgesi,11545,136507.0
49,2017-12-01,2018-01-21,Akdeniz Bölgesi,10740,135438.0
50,2018-01-01,2018-02-25,Akdeniz Bölgesi,12199,133021.0
51,2018-02-01,2018-03-25,Akdeniz Bölgesi,6505,132508.0
52,2018-03-01,2018-04-22,Akdeniz Bölgesi,9722,131809.0
53,2018-04-01,2018-05-27,Akdeniz Bölgesi,10145,131558.0
54,2018-05-01,2018-06-24,Akdeniz Bölgesi,11342,130912.0
55,2018-06-01,2018-07-22,Akdeniz Bölgesi,7577,128371.0
56,2018-07-01,2018-08-26,Akdeniz Bölgesi,11746,125796.0
57,2018-08-01,2018-09-23,Akdeniz Bölgesi,7325,121134.0
58,2018-09-01,2018-10-21,Akdeniz Bölgesi,5825,116458.0
59,2018-10-01,2018-11-25,Akdeniz Bölgesi,4947,109618.0
60,2018-11-01,2018-12-23,Akdeniz Bölgesi,7736,105809.0
61,2018-12-01,2019-01-20,Akdeniz Bölgesi,6345,101414.0
62,2019-01-01,2019-02-24,Akdeniz Bölgesi,7324,96539.0
63,2019-02-01,2019-03-24,Akdeniz Bölgesi,4440,94474.0
64,2019-03-01,2019-04-21,Akdeniz Bölgesi,7225,91977.0
65,2019-04-01,2019-05-26,Akdeniz Bölgesi,7171,89003.0
66,2019-05-01,2019-06-23,Akdeniz Bölgesi,8253,85914.0
67,2019-06-01,2019-07-21,Akdeniz Bölgesi,5518,83855.0
68,2019-07-01,2019-08-25,Akdeniz Bölgesi,8237,80346.0
69,2019-08-01,2019-09-22,Akdeniz Bölgesi,5342,78363.0
70,2019-09-01,2019-10-27,Akdeniz Bölgesi,6959,79497.0
71,2019-10-01,2019-11-24,Akdeniz Bölgesi,8358,82908.0
72,2019-11-01,2019-12-22,Akdeniz Bölgesi,7853,83025.0
73,2019-12-01,2020-01-26,Akdeniz Bölgesi,6603,83283.0
74,2013-11-01,2013-12-22,Doğu Anadolu Bölgesi,3283,
75,2013-12-01,2014-01-26,Doğu Anadolu Bölgesi,2684,
76,2014-01-01,2014-02-23,Doğu Anadolu Bölgesi,3938,
77,2014-02-01,2014-03-23,Doğu Anadolu Bölgesi,1914,
78,2014-03-01,2014-04-20,Doğu Anadolu Bölgesi,2433,
79,2014-04-01,2014-05-25,Doğu Anadolu Bölgesi,2675,
80,2014-05-01,2014-06-22,Doğu Anadolu Bölgesi,2889,
81,2014-06-01,2014-07-27,Doğu Anadolu Bölgesi,2450,
82,2014-07-01,2014-08-24,Doğu Anadolu Bölgesi,3150,
83,2014-08-01,2014-09-21,Doğu Anadolu Bölgesi,2796,
84,2014-09-01,2014-10-26,Doğu Anadolu Bölgesi,2992,
85,2014-10-01,2014-11-23,Doğu Anadolu Bölgesi,2836,34040.0
86,2014-11-01,2014-12-21,Doğu Anadolu Bölgesi,3461,34218.0
87,2014-12-01,2015-01-25,Doğu Anadolu Bölgesi,3533,35067.0
88,2015-01-01,2015-02-22,Doğu Anadolu Bölgesi,4640,35769.0
89,2015-02-01,2015-03-29,Doğu Anadolu Bölgesi,2637,36492.0
90,2015-03-01,2015-04-26,Doğu Anadolu Bölgesi,3854,37913.0
91,2015-04-01,2015-05-24,Doğu Anadolu Bölgesi,4381,39619.0
92,2015-05-01,2015-06-21,Doğu Anadolu Bölgesi,3798,40528.0
93,2015-06-01,2015-07-26,Doğu Anadolu Bölgesi,3035,41113.0
94,2015-07-01,2015-08-23,Doğu Anadolu Bölgesi,4140,42103.0
95,2015-08-01,2015-09-20,Doğu Anadolu Bölgesi,3254,42561.0
96,2015-09-01,2015-10-25,Doğu Anadolu Bölgesi,2826,42395.0
97,2015-10-01,2015-11-22,Doğu Anadolu Bölgesi,3218,42777.0
98,2015-11-01,2015-12-27,Doğu Anadolu Bölgesi,3457,42773.0
99,2015-12-01,2016-01-24,Doğu Anadolu Bölgesi,4506,43746.0
100,2016-01-01,2016-02-21,Doğu Anadolu Bölgesi,3545,42651.0
101,2016-02-01,2016-03-27,Doğu Anadolu Bölgesi,2496,42510.0
102,2016-03-01,2016-04-24,Doğu Anadolu Bölgesi,3891,42547.0
103,2016-04-01,2016-05-22,Doğu Anadolu Bölgesi,3754,41920.0
104,2016-05-01,2016-06-26,Doğu Anadolu Bölgesi,4106,42228.0
105,2016-06-01,2016-07-24,Doğu Anadolu Bölgesi,3421,42614.0
106,2016-07-01,2016-08-21,Doğu Anadolu Bölgesi,3214,41688.0
107,2016-08-01,2016-09-25,Doğu Anadolu Bölgesi,3373,41807.0
108,2016-09-01,2016-10-23,Doğu Anadolu Bölgesi,3045,42026.0
109,2016-10-01,2016-11-20,Doğu Anadolu Bölgesi,3874,42682.0
110,2016-11-01,2016-12-25,Doğu Anadolu Bölgesi,4697,43922.0
111,2016-12-01,2017-01-22,Doğu Anadolu Bölgesi,3586,43002.0
112,2017-01-01,2017-02-26,Doğu Anadolu Bölgesi,4696,44153.0
113,2017-02-01,2017-03-26,Doğu Anadolu Bölgesi,2326,43983.0
114,2017-03-01,2017-04-23,Doğu Anadolu Bölgesi,4958,45050.0
115,2017-04-01,2017-05-21,Doğu Anadolu Bölgesi,5378,46674.0
116,2017-05-01,2017-06-25,Doğu Anadolu Bölgesi,3841,46409.0
117,2017-06-01,2017-07-23,Doğu Anadolu Bölgesi,2767,45755.0
118,2017-07-01,2017-08-20,Doğu Anadolu Bölgesi,4229,46770.0
119,2017-08-01,2017-09-24,Doğu Anadolu Bölgesi,3772,47169.0
120,2017-09-01,2017-10-22,Doğu Anadolu Bölgesi,3092,47216.0
121,2017-10-01,2017-11-26,Doğu Anadolu Bölgesi,4098,47440.0
122,2017-11-01,2017-12-24,Doğu Anadolu Bölgesi,3782,46525.0
123,2017-12-01,2018-01-21,Doğu Anadolu Bölgesi,3286,46225.0
124,2018-01-01,2018-02-25,Doğu Anadolu Bölgesi,3852,45381.0
125,2018-02-01,2018-03-25,Doğu Anadolu Bölgesi,2118,45173.0
126,2018-03-01,2018-04-22,Doğu Anadolu Bölgesi,3171,43386.0
127,2018-04-01,2018-05-27,Doğu Anadolu Bölgesi,2883,40891.0
128,2018-05-01,2018-06-24,Doğu Anadolu Bölgesi,2893,39943.0
129,2018-06-01,2018-07-22,Doğu Anadolu Bölgesi,1871,39047.0
130,2018-07-01,2018-08-26,Doğu Anadolu Bölgesi,2860,37678.0
131,2018-08-01,2018-09-23,Doğu Anadolu Bölgesi,1874,35780.0
132,2018-09-01,2018-10-21,Doğu Anadolu Bölgesi,1579,34267.0
133,2018-10-01,2018-11-25,Doğu Anadolu Bölgesi,1521,31690.0
134,2018-11-01,2018-12-23,Doğu Anadolu Bölgesi,2726,30634.0
135,2018-12-01,2019-01-20,Doğu Anadolu Bölgesi,2269,29617.0
136,2019-01-01,2019-02-24,Doğu Anadolu Bölgesi,1964,27729.0
