index,Litres
0,33081.098
1,31591.77
2,32315.473
3,23819.963
4,29426.65
5,32149.19
6,33528.105
7,27031.453
8,32258.451
9,34453.617
10,32984.25
11,26787.152
12,28010.74
13,33869.188
14,35670.25
15,37079.086
16,27632.459
17,32718.809
18,34254.164
19,30682.67
20,33605.4
21,36377.13
22,42266.555
23,38975.883
24,42255.92
25,42846.086
26,46969.96
27,46960.594
28,46006.996
29,47134.742
30,60287.0
31,58283.516
32,53416.312
33,53930.508
34,41548.54
35,42212.83
36,47143.49
37,41489.137
38,38556.453
39,41108.316
40,40491.562
41,48187.28
42,48501.277
43,50847.062
44,47319.04
45,49908.473
46,45631.734
47,44728.246
48,44169.023
49,45471.734
50,47355.094
51,37501.145
52,33095.355
53,34251.04
54,37910.984
55,34855.938
56,33167.44
57,34925.85
58,37469.15
59,34915.082
60,38924.59
61,43232.746
62,43416.023
63,39266.438
64,40744.887
65,44555.43
66,44226.465
67,44985.414
68,37438.35
69,38719.625
70,34774.86
71,31065.96
72,29731.225
73,41021.28
74,54271.13
75,45706.203
76,56080.594
77,49059.617
78,51229.77
79,52936.273
80,54956.92
81,57743.58
82,74701.586
83,76896.16
84,82237.84
85,71403.51
86,58768.15
87,52655.004
88,47031.47
89,46740.363
90,44379.945
91,41859.09
92,41580.418
93,38725.44
94,34894.465
95,34840.047
96,35446.285
97,33144.457
98,34960.965
99,33413.59
100,35282.49
101,32512.03
102,45674.92
103,40065.777
104,21936.688
105,19563.56
106,21290.55
107,13391.167
108,11366.009
109,12904.635
110,12424.924
111,13487.117
112,16707.695
113,20608.607
114,15845.882
115,12755.412
116,11792.523
117,14971.766
118,13307.353
119,18515.512
120,19144.363
121,18633.406
122,21343.559
123,15294.089
124,13785.296
125,20350.887
126,36699.48
127,34412.047
128,29012.393
129,28902.328
130,26269.969
131,23820.52
132,29428.402
133,22642.176
134,32471.11
135,45077.176
136,70294.02
137,67756.08
138,43496.18
139,29209.125
140,14841.171
141,11181.295
142,8139.646
143,9516.087
144,8783.497
145,10174.352
146,9166.396
147,7323.9478
148,14141.96
149,19999.098
150,12753.483
151,9560.427
152,11859.88
153,20298.607
154,31261.674
155,32855.89
156,15018.619
157,18621.732
158,16868.785
159,11387.321
160,13760.284
161,13185.719
162,20857.67
163,12470.281
164,13918.392
165,14626.061
166,13537.5
167,10514.668
168,13528.714
169,16685.861
170,16693.795
171,18265.945
172,14673.163
173,18887.86
174,20403.268
175,13740.495
176,14521.063
177,23958.385
178,41679.07
179,34276.367
180,40566.363
181,30732.398
182,38885.76
183,38609.91
184,44783.73
185,46448.188
186,61322.816
187,56502.824
188,51948.184
189,50142.676
190,34860.277
191,28349.744
192,30402.086
193,29068.057
194,27411.793
195,31549.33
196,21831.688
197,24621.29
198,19831.986
199,22729.387
200,23383.355
201,22038.676
202,26514.877
203,18661.518
204,18676.447
205,19535.621
206,34003.117
207,33656.004
208,19491.016
209,21048.346
210,19180.209
211,11206.525
212,10593.683
213,17952.748
214,22192.018
215,13504.094
216,10420.287
217,22781.246
218,35435.08
219,20082.205
220,21792.496
221,21895.166
222,16802.621
223,21361.846
224,9333.217
225,16185.688
226,16372.94
227,15960.201
228,11458.72
229,8328.601
230,15841.23
231,19046.293
232,30196.908
233,29716.072
234,32980.832
235,26092.246
236,24666.314
237,28655.822
238,38042.918
239,33887.45
240,45868.625
241,31011.875
242,19986.47
243,19399.01
244,13655.127
245,12243.486
246,10733.936
247,17257.992
248,18739.873
249,22322.092
250,15300.014
251,14275.849
252,15096.085
253,15907.269
254,19178.754
255,16938.553
256,17671.11
257,17279.537
258,25082.562
259,23510.238
260,191175.55
261,200839.14
262,194559.62
263,190479.97
264,185747.61
265,193474.56
266,197818.7
267,191852.02
268,199992.89
269,200222.03
270,200264.3
271,198077.31
272,205927.39
273,216808.7
274,220852.36
275,218614.81
276,206338.83
277,207144.55
278,203098.17
279,195293.75
280,200163.7
281,205488.98
282,212878.92
283,212138.6
284,214079.08
285,215369.39
286,222484.31
287,227833.94
288,226532.61
289,234794.73
290,243377.77
291,217794.78
292,182232.78
293,201299.64
294,195311.69
295,204051.0
296,210889.61
297,200898.36
298,199614.81
299,200559.61
300,194085.17
301,194776.11
302,202325.23
303,207056.2
304,214453.55
305,216646.03
306,222976.78
307,216821.84
308,211933.16
309,217538.27
310,205825.19
311,152287.45
312,36672.93
313,42113.074
314,36021.957
315,21310.54
316,29619.71
317,36349.344
318,54937.285
319,35712.023
320,26987.863
321,33392.133
322,43825.9
323,36483.953
324,30075.598
325,26248.818
326,15385.516
327,23194.084
328,15986.771
329,20536.873
330,22255.17
331,21911.848
332,22710.62
333,29613.586
334,32440.924
335,35271.703
336,37518.613
337,26770.828
338,28196.85
339,24731.89
340,19154.568
341,23361.672
342,33146.04
343,31775.06
344,29765.02
345,31888.078
346,24388.016
347,14410.554
348,16781.73
349,19535.57
350,17819.326
351,15112.563
352,12668.655
353,11754.819
354,9557.955
355,16089.671
356,20160.57
357,26451.943
358,27493.943
359,17177.656
360,16469.557
361,12311.871
362,30475.832
363,44159.56
364,241329.38
365,243996.0
366,255071.61
367,255974.67
368,254421.38
369,256860.4
370,252766.16
371,244309.4
372,253490.66
373,263941.03
374,281397.03
375,281904.22
376,288766.75
377,284610.5
378,288177.56
379,289580.28
380,275198.38
381,289468.94
382,283557.34
383,275202.72
384,272424.03
385,257213.77
386,262465.53
387,264871.03
388,284782.97
389,308566.22
390,297030.25
391,293986.56
392,299614.1
393,305104.0
394,317702.84
395,283508.8
396,241783.75
397,274466.5
398,257711.72
399,288417.6
400,275422.0
401,281266.66
402,275850.47
403,284958.4
404,283368.3
405,258010.48
406,272931.88
407,268355.44
408,271052.16
409,271401.47
410,254251.64
411,261041.33
412,250942.16
413,235237.7
414,220172.44
415,148095.27
416,38016.297
417,44292.31
418,43803.625
419,34568.848
420,41038.62
421,43559.58
422,48986.69
423,45544.777
424,45459.01
425,47507.21
426,47258.312
427,46937.477
428,47534.73
429,52092.93
430,49398.383
431,54093.773
432,41870.254
433,45454.582
434,68247.15
435,86156.164
436,57361.047
437,50407.02
438,28693.846
439,29942.48
440,24107.596
441,27809.521
442,23712.459
443,20631.018
444,21645.486
445,21446.67
446,30857.152
447,19463.457
448,15674.043
449,19872.832
450,14147.646
451,16391.697
452,16358.567
453,16215.64
454,12502.491
455,15576.995
456,15007.71
457,15935.748
458,11836.745
459,13158.088
460,11928.389
461,17845.99
462,24520.826
463,27579.066
464,30825.316
465,30040.898
466,44620.113
467,41833.914
468,37011.723
469,40000.887
470,38636.883
471,38050.684
472,36547.95
473,37328.27
474,36445.15
475,30405.217
476,32436.238
477,37877.62
478,36231.918
479,36371.22
480,40347.19
481,41030.2
482,48008.266
483,50843.504
484,38585.03
485,43189.074
486,41920.582
487,38592.58
488,41129.508
489,40821.066
490,46410.27
491,49157.42
492,49646.426
493,52552.715
494,50740.15
495,47862.45
496,48907.004
497,55527.816
498,68656.09
499,59848.543
500,43053.383
501,53750.934
502,50001.25
503,50358.09
504,48764.227
505,45618.465
506,48800.465
507,45204.94
508,46601.227
509,45932.66
510,40902.508
511,50953.477
512,46473.246
513,46366.844
514,48159.39
515,41450.355
516,41642.09
517,42375.914
518,62940.926
519,75712.78
520,47940.797
521,46595.16
522,51141.543
523,38712.58
524,42742.53
525,54611.49
526,50603.438
527,46850.28
528,47211.1
529,49845.613
530,54597.457
531,44290.11
532,43337.848
533,49211.137
534,55931.69
535,63756.53
536,54225.0
537,58429.508
538,48470.793
539,51016.684
540,54198.676
541,57699.383
542,67534.055
543,62037.52
544,69662.94
545,74143.43
546,76686.51
547,70561.8
548,77428.664
549,80664.51
550,91892.66
551,79503.914
552,63203.656
553,81511.16
554,64123.39
555,52407.246
556,58399.67
557,55619.566
558,57620.117
559,54750.16
560,50939.85
561,46750.69
562,44936.11
563,47515.625
564,47632.54
565,48737.035
566,52642.945
567,51674.215
568,46498.08
569,42353.63
570,55942.43
571,71651.54
572,17447.56
573,17616.701
574,21632.633
575,19112.791
576,18589.365
577,21421.512
578,22025.576
579,15212.641
580,17601.71
581,22587.268
582,25755.414
583,24420.633
584,21407.793
585,24645.758
586,29096.973
587,30736.844
588,27426.03
589,29917.281
590,24275.668
591,29630.062
592,25451.18
593,33739.19
594,46180.883
595,43202.547
596,48840.21
597,47937.24
598,58201.906
599,65245.23
600,65236.188
601,67186.53
602,79305.64
603,75054.52
604,73313.414
605,72479.91
606,61342.527
607,48657.266
608,37007.367
609,26955.78
610,18004.24
611,18618.723
612,18709.805
613,20626.812
614,18483.207
615,18606.553
616,18559.484
617,20285.371
618,21000.71
619,19128.945
620,20731.938
621,21311.566
622,36395.27
623,38957.27
624,173931.42
625,175973.45
626,172017.75
627,165406.0
628,166956.2
629,166537.42
630,175355.11
631,175436.11
632,185465.53
633,187504.94
634,178107.08
635,171629.19
636,180194.1
637,167176.8
638,187290.08
639,179583.3
640,177912.98
641,194959.14
642,178342.9
643,171554.61
644,174276.86
645,188545.64
646,197528.75
647,199194.11
648,189567.62
649,192940.12
650,194955.48
651,195829.92
652,207660.73
653,209787.52
654,229438.75
655,206815.97
656,166692.47
657,192681.22
658,184091.97
659,188587.08
660,192839.64
661,192013.27
662,182904.4
663,165960.17
664,170448.5
665,166232.94
666,171014.12
667,173839.83
668,174761.67
669,166143.7
670,171356.84
671,164679.45
672,169636.94
673,172693.92
674,176926.69
675,133609.89
676,42001.055
677,47257.344
678,50150.707
679,36098.586
680,37669.465
681,35165.42
682,37892.965
683,35037.465
684,43246.285
685,44720.14
686,48017.535
687,43283.355
688,37752.273
689,43956.953
690,45765.97
691,49011.074
692,44098.58
693,54316.4
694,47742.246
695,53157.406
696,50931.605
697,44197.293
698,45445.867
699,47662.98
700,45158.91
701,49920.824
702,50472.105
703,51290.59
704,49546.387
705,44141.938
706,58802.79
707,37937.977
708,32659.73
709,44151.65
710,43791.047
711,49396.152
712,57714.766
713,55755.684
714,55664.484
715,51649.414
716,50536.867
717,51229.56
718,42449.46
719,46752.273
720,47922.54
721,50576.695
722,52191.344
723,44661.664
724,46034.3
725,49972.938
726,59468.703
727,53549.633
728,14669.961
729,18884.59
730,21861.777
731,16374.521
732,17666.283
733,16935.742
734,19864.215
735,14458.315
736,13581.237
737,22791.246
738,17225.098
739,15779.746
740,14604.876
741,12984.914
742,15962.485
743,16147.072
744,13406.909
745,18402.7
746,16876.334
747,17547.318
748,14618.07
749,11631.584
750,14508.854
751,11383.946
752,16270.838
753,17449.531
754,16751.922
755,19311.383
756,18595.934
757,16779.951
758,26015.74
759,22103.207
760,21127.191
761,20804.738
762,18734.799
763,15423.014
764,17534.947
765,16251.397
766,13038.706
767,13386.929
768,12944.824
769,16562.97
770,16079.934
771,12304.795
772,10361.054
773,11919.41
774,14767.748
775,13189.389
776,15628.7705
777,11854.436
778,27713.098
779,42796.387
780,16063.595
781,19431.615
782,23118.86
783,19876.322
784,21526.115
785,19315.41
786,24938.248
787,17527.336
788,17810.45
789,22686.863
790,22641.111
791,18399.89
792,23240.916
793,21353.22
794,22336.98
795,27823.443
796,13293.166
797,20546.03
798,28826.834
799,34920.57
800,27652.94
801,30601.682
802,27820.174
803,29418.764
804,29921.824
805,29891.076
806,29706.025
807,26953.998
808,34693.074
809,38393.664
810,50811.164
811,46174.273
812,43091.715
813,50295.938
814,30526.295
815,35967.727
816,31292.727
817,27747.984
818,23850.71
819,21056.12
820,21586.852
821,23023.836
822,24659.418
823,23066.93
824,21962.904
825,24919.736
826,16575.99
827,19839.256
828,20920.643
829,18682.73
830,29569.145
831,25085.69
832,67010.55
833,77817.89
834,80262.05
835,56876.797
836,57387.492
837,66603.77
838,63370.418
839,60167.79
840,57479.566
841,59131.09
842,68295.11
843,54277.11
844,51148.848
845,54097.242
846,53599.93
847,59159.37
848,54606.53
849,73692.66
850,56526.02
851,53182.223
852,44090.043
853,39784.832
854,57688.156
855,66786.09
856,76592.336
857,61505.836
858,70238.62
859,67967.445
860,72558.695
861,73677.67
862,90957.24
863,71031.78
864,70131.016
865,75330.68
866,64869.105
867,61847.934
868,70865.37
869,69725.234
870,66832.3
871,59434.684
872,63844.86
873,55591.715
874,51822.664
875,57099.176
876,54059.785
877,61823.37
878,65586.21
879,60467.87
880,58818.26
881,63674.445
882,75878.945
883,70408.984
884,27145.066
885,28280.074
886,28721.564
887,29995.307
888,26407.535
889,23756.412
890,23598.828
891,21713.719
892,26556.738
893,28138.97
894,27980.932
895,26308.371
896,26661.62
897,30989.746
898,28118.293
899,28745.629
900,23577.379
901,27760.969
902,28301.842
903,25931.074
904,25416.195
905,23787.008
906,26840.541
907,27018.166
908,29683.932
909,30182.932
910,32109.426
911,29937.234
912,31750.156
913,34809.57
914,41329.953
915,30827.219
916,20780.12
917,28686.139
918,27950.502
919,28400.3
920,27866.426
921,25762.646
922,27193.959
923,26589.516
924,26371.004
925,25028.133
926,23669.188
927,25324.695
928,25492.627
929,24358.752
930,26769.676
931,24807.61
932,23894.219
933,25077.04
934,44802.22
935,64919.113
936,127524.96
937,129866.71
938,127587.84
939,122814.29
940,119756.125
941,118629.83
942,115059.38
943,107122.91
944,107410.44
945,106961.44
946,100526.1
947,95023.42
948,95545.78
949,102610.52
950,101004.53
951,104412.336
952,105725.4
953,125773.18
954,122975.07
955,121359.945
956,115508.14
957,111191.83
958,105901.98
959,98289.77
960,91117.9
961,86147.914
962,81122.16
963,75822.85
964,67576.38
965,67533.61
966,67026.38
967,48346.72
968,32870.53
969,32979.848
970,33581.52
971,29782.139
972,30478.686
973,33841.605
974,38729.76
975,38893.453
976,33579.453
977,31231.104
978,25101.824
979,24344.914
980,24141.977
981,24085.402
982,31351.229
983,34536.016
984,32449.605
985,33643.98
986,54691.016
987,76534.65
988,44503.57
989,43422.316
990,49214.055
991,49989.05
992,52700.902
993,48855.367
994,46835.797
995,44441.324
996,48680.902
997,55755.652
998,49429.297
999,49601.652
1000,47218.65
1001,56169.36
1002,53019.086
1003,60257.74
1004,48629.312
1005,49558.625
1006,49068.133
1007,44228.02
1008,43717.168
1009,40121.938
1010,46140.707
1011,44565.258
1012,51468.93
1013,55556.617
1014,60427.414
1015,61269.523
1016,61141.805
1017,69535.74
1018,71767.27
1019,56151.664
1020,40014.918
1021,51359.46
1022,55570.527
1023,57204.54
1024,53326.664
1025,46990.312
1026,47691.773
1027,46869.77
1028,42619.1
1029,41188.246
1030,37670.4
1031,44773.715
1032,42440.42
1033,39174.94
1034,47935.785
1035,47917.664
1036,53336.098
1037,52084.766
1038,69245.21
1039,78076.89
1040,45097.25
