index,Litres
0,33159.996
1,25327.338
2,33034.055
3,20232.025
4,23559.15
5,28803.285
6,35453.97
7,26127.01
8,29876.95
9,31682.719
10,38064.266
11,25362.412
12,28521.186
13,32973.523
14,31998.05
15,42037.062
16,27061.281
17,31276.246
18,31430.607
19,31451.05
20,29878.676
21,29541.643
22,44027.03
23,35736.77
24,37804.195
25,38753.62
26,46854.863
27,42508.848
28,44639.496
29,43491.055
30,44532.66
31,57664.92
32,54192.97
33,51499.56
34,41785.1
35,40074.266
36,43458.977
37,42702.023
38,33386.285
39,41853.504
40,32722.334
41,42974.887
42,41105.387
43,50042.133
44,41377.11
45,48486.66
46,39026.54
47,44035.508
48,41400.746
49,40876.973
50,45263.28
51,38407.88
52,30230.99
53,28866.91
54,33467.453
55,32668.143
56,30566.29
57,31881.291
58,35199.605
59,34905.812
60,37438.14
61,38846.598
62,45318.645
63,36904.945
64,40710.105
65,43557.04
66,41044.9
67,47267.863
68,36240.688
69,41138.85
70,32465.223
71,32572.566
72,26232.1
73,28587.05
74,56265.63
75,43186.617
76,51561.562
77,46715.78
78,51735.656
79,44862.27
80,53384.938
81,52159.97
82,59285.207
83,64530.45
84,82356.61
85,76699.09
86,58281.78
87,50886.426
88,46337.594
89,44407.957
90,41580.555
91,41371.645
92,39002.54
93,36598.16
94,30556.572
95,32026.127
96,33619.586
97,29580.977
98,33611.32
99,27825.967
100,35428.043
101,27327.05
102,39976.055
103,37419.02
104,21445.375
105,16483.645
106,17723.73
107,13730.946
108,7070.8843
109,9033.936
110,7982.7744
111,11466.558
112,14495.228
113,20793.723
114,20683.55
115,15215.277
116,13846.028
117,17417.04
118,13655.951
119,17220.5
120,17653.492
121,24084.262
122,20650.258
123,16775.594
124,15626.114
125,12768.525
126,28987.453
127,36791.332
128,33116.457
129,20920.547
130,27314.846
131,20282.023
132,26967.684
133,22766.566
134,20120.453
135,27725.383
136,55891.21
137,81386.77
138,53784.535
139,31798.398
140,12589.324
141,12318.532
142,4318.657
143,8418.966
144,5956.0464
145,6921.839
146,6507.13
147,5347.3594
148,4170.593
149,19323.773
150,14150.296
151,9743.322
152,3235.5845
153,10154.456
154,25273.89
155,31292.836
156,12084.297
157,13740.622
158,18748.404
159,7202.6675
160,9157.015
161,8752.706
162,20698.0
163,10383.891
164,15643.6
165,11331.948
166,17293.234
167,12967.644
168,14820.52
169,18407.432
170,17189.516
171,20085.537
172,16163.823
173,18277.701
174,19745.0
175,17440.78
176,16011.9795
177,11913.13
178,43021.5
179,30918.748
180,42185.85
181,24466.035
182,37562.266
183,31546.98
184,43391.55
185,41923.766
186,46436.86
187,54329.47
188,53314.695
189,48877.258
190,39760.367
191,28526.479
192,23035.725
193,28922.129
194,24725.21
195,32690.188
196,20609.316
197,23416.55
198,15108.116
199,18837.982
200,23916.89
201,17737.38
202,26796.322
203,17241.076
204,18034.045
205,9794.581
206,26990.45
207,29877.557
208,16838.057
209,17655.416
210,17095.477
211,12317.485
212,4792.075
213,9571.243
214,21042.291
215,18623.955
216,10304.88
217,6453.9146
218,39728.953
219,29438.584
220,20088.875
221,23554.61
222,15847.616
223,29510.068
224,7281.861
225,15719.225
226,13852.95
227,17977.428
228,18233.027
229,6803.6978
230,13079.216
231,10364.8955
232,28933.338
233,26957.469
234,32689.033
235,23728.676
236,24151.135
237,21228.852
238,31904.602
239,27170.438
240,41316.445
241,38484.875
242,18658.969
243,20320.84
244,9333.187
245,15722.96
246,5374.009
247,13771.198
248,16534.074
249,21460.07
250,13695.835
251,13330.311
252,13598.065
253,13009.332
254,18371.217
255,14142.425
256,15013.929
257,11420.673
258,19656.69
259,19091.135
260,180447.05
261,186765.9
262,183848.34
263,179885.8
264,175440.17
265,175643.3
266,186912.9
267,181925.7
268,187492.55
269,185424.67
270,192485.0
271,183229.6
272,191299.4
273,196860.44
274,209505.58
275,209679.56
276,193890.75
277,195378.27
278,189244.61
279,187135.3
280,178893.05
281,181911.55
282,202306.55
283,198359.52
284,196217.2
285,199201.28
286,200980.1
287,210791.64
288,211647.12
289,216370.5
290,210639.47
291,219298.23
292,177629.95
293,179938.67
294,177096.97
295,187546.11
296,197640.31
297,190054.2
298,184890.39
299,185250.98
300,184879.38
301,176845.84
302,179359.36
303,190587.61
304,198170.77
305,196228.48
306,204982.89
307,205538.4
308,198619.36
309,191379.61
310,216917.38
311,165112.69
312,45683.9
313,35633.61
314,39312.863
315,16083.688
316,27236.562
317,25412.387
318,52461.258
319,48348.53
320,32562.75
321,21023.887
322,40174.312
323,47806.22
324,33326.062
325,30372.297
326,17251.62
327,25057.887
328,15298.054
329,26025.096
330,16350.722
331,25456.191
332,19648.184
333,24531.137
334,34060.22
335,31409.512
336,38639.656
337,27752.912
338,25303.666
339,24728.084
340,21043.844
341,17881.744
342,23438.541
343,27360.51
344,29865.926
345,34616.434
346,26461.793
347,16064.782
348,11993.033
349,16685.89
350,16545.193
351,19982.057
352,11123.822
353,12123.778
354,5602.335
355,11183.966
356,16939.588
357,21514.316
358,30057.945
359,17442.768
360,14129.323
361,6114.8135
362,15771.74
363,33685.816
364,226064.67
365,223250.92
366,232259.89
367,235801.53
368,240301.77
369,237229.97
370,238364.81
371,226376.23
372,235461.05
373,233696.53
374,260352.95
375,260218.62
376,272240.8
377,263709.5
378,262158.88
379,273996.44
380,255883.83
381,264296.38
382,262483.28
383,260853.45
384,251694.28
385,235572.0
386,241627.36
387,242057.27
388,245945.36
389,281839.5
390,285487.78
391,270448.5
392,263532.97
393,284558.06
394,278519.9
395,290495.62
396,215435.23
397,251954.03
398,227979.42
399,265053.38
400,257304.17
401,256652.33
402,256374.67
403,251823.42
404,273712.66
405,243973.84
406,235126.39
407,248530.78
408,250115.89
409,254256.89
410,237802.3
411,231451.05
412,244199.92
413,218548.4
414,231796.8
415,160009.83
416,39466.39
417,35377.633
418,44100.605
419,31124.975
420,36843.516
421,40291.355
422,47199.406
423,45619.15
424,44657.53
425,46241.17
426,47092.17
427,43808.38
428,45854.438
429,53961.008
430,45712.46
431,55927.99
432,38616.094
433,51409.586
434,35318.06
435,92124.53
436,68187.47
437,53049.043
438,23994.275
439,28922.285
440,24637.52
441,23670.604
442,23518.172
443,20726.533
444,20377.2
445,17241.994
446,24888.316
447,21195.852
448,13448.997
449,20861.785
450,13497.484
451,15071.575
452,12197.755
453,18235.818
454,10658.459
455,15685.124
456,11479.995
457,16988.406
458,10357.067
459,12434.445
460,11557.619
461,12372.19
462,20342.852
463,22575.41
464,31706.904
465,24347.738
466,37841.242
467,38740.85
468,36517.93
469,37934.984
470,37239.07
471,36274.85
472,34857.742
473,37996.074
474,37489.58
475,34143.113
476,31642.158
477,34619.965
478,41988.25
479,34468.344
480,43637.938
481,41052.633
482,45686.832
483,54976.55
