Date,WoWChange%
2014-01-06,-0.62%
2014-01-13,3.08%
2014-01-20,4.47%
2014-01-27,"-3,04%"
2014-02-03,"-1,80%"
2014-02-10,"-1,75%"
2014-02-17,"-0,11%"
2014-02-24,"1,40%"
2014-03-03,"-0,17%"
2014-03-10,"0,34%"
2014-03-17,"0,93%"
2014-03-24,"-1,91%"
2014-03-31,"-3,53%"
2014-04-07,"-0,03%"
2014-04-14,"0,79%"
2014-04-21,"0,21%"
2014-04-28,"-1,42%"
2014-05-05,"-1,26%"
2014-05-12,"1,08%"
2014-05-19,"-0,86%"
2014-05-26,"0,73%"
2014-06-02,"-0,91%"
2014-06-09,"2,18%"
2014-06-16,"0,81%"
2014-06-23,"-0,83%"
2014-06-30,"0,48%"
2014-07-07,"-0,72%"
2014-07-14,"0,34%"
2014-07-21,"-1,45%"
2014-07-28,"1,89%"
2014-08-04,"0,54%"
2014-08-11,"1,03%"
2014-08-18,"0,39%"
2014-08-25,"-0,53%"
2014-09-01,"-0,23%"
2014-09-08,"2,96%"
2014-09-15,"0,53%"
2014-09-22,"1,24%"
2014-09-29,"1,41%"
2014-10-06,"-0,25%"
2014-10-13,"-1,85%"
2014-10-20,"-0,65%"
2014-10-27,"-0,33%"
2014-11-03,"1,53%"
2014-11-10,"-1,26%"
2014-11-17,"-0,35%"
2014-11-24,"-0,10%"
2014-12-01,"1,87%"
2014-12-08,"1,68%"
2014-12-15,"0,57%"
2014-12-22,"0,23%"
2014-12-29,"1,15%"
2015-01-05,"-2,10%"
2015-01-12,"1,22%"
2015-01-19,"1,09%"
2015-01-26,"4,18%"
2015-02-02,"1,13%"
2015-02-09,"-0,64%"
2015-02-16,"-0,22%"
2015-02-23,"2,29%"
2015-03-02,"4,60%"
2015-03-09,"0,59%"
2015-03-16,"-2,53%"
2015-03-23,"1,45%"
2015-03-30,"-1,47%"
2015-04-06,"2,21%"
2015-04-13,"1,88%"
2015-04-20,"1,35%"
2015-04-27,"-0,24%"
2015-05-04,"-0,47%"
2015-05-11,"-4,43%"
2015-05-18,"0,90%"
2015-05-25,"2,46%"
2015-06-01,"-0,03%"
2015-06-08,"1,90%"
2015-06-15,"-0,65%"
2015-06-22,"-1,12%"
